Name	Number	Ctf
Xmas tree	11	5
Wicker Chair	11	5
Safe Floor/Small	11	10
Silk tree	11	5
Umbrella	11	5
Sofa - Loveseat - Leather	11	30
Weight Bar	11	4
Vehicle - Year, make - model	11	0
tote-small	11	2
Air Hockey Table	11	17
Dresser - Vanity Bench	11	3
toy chest	11	8
jack	11	8
Kitchen - Chair	11	5
Ottoman - Leather	11	5
Mower, Power	11	15
HOT TUBS: 65' & OVER	11	104
Bike youth	11	4
Cabinet, small	11	9
Bar, Stool	11	3
4.5 carton	11	4
Tote -Plastic Packed	11	2
Outdoor Chair	11	3
.GLASS TOP(S) CP	11	0
Table - Breakfast	11	7
Tub	11	4
Headboard / Footboard	11	9
Dryer -  Not Going	11	0
Washer - Not Going	11	0
pedestal	11	9
Plastic Storage Bin	11	3
Table lamp	11	3
Shelving Unit - Large	11	23
Shelf - Wood	11	3
range/stove	11	25
racks	11	2
Cement Bench	11	20
plastic drawers	11	3
Gun Safe	11	79
Cabinet, Curio	11	20
Box - 4.5 Cu. Carton, contents not going	11	0
Pedastal	10	4
Barrell	10	9
Firepit	10	10
CAMPING EQUIPMENT	10	10
MISC. TOOLS	10	9
LCD TV-37 inch	10	10
entertainment center	10	11
Glass Top	10	8
Xmas PBO	10	3
steamer	10	3
air mattress	10	7
LCD TV-55 inch	10	15
Clock	10	5
MISC TOOLS	10	9
Piano- Upright	10	70
Bench - Vanity	10	3
AMP	10	6
Rowing Machine	10	20
Rack - Shoe	10	2
Yard Tub	10	9
foosball table	10	21
shop vac	10	4
Hand Truck	10	5
Carpet - Medium	10	5
armoir	10	41
buffet top	10	23
MISC ITEMS	10	152
PICTURES	10	1
Bed, Footboard	10	5
Bed, Headboard	10	10
Drums	10	12
Chair Dining	10	5
Rack Shoe	10	2
METAL RACKS	10	14
tools	10	9
Shelf - Plastic	10	3
BB Hoop	10	21
TV - Flat Panel	10	14
Doll house	10	10
Tote - LG	10	6
gun safe	10	24
table bar height	10	20
China Cabinet	10	29
Pool Table Slate & 3rd Party	10	7
Coat Rack - Large	10	8
Tiller	10	15
china cabinet	10	31
Chair - Stack / Metal	10	1
Cooler - Small	10	2
Chair - Breakfast	10	4
Mirror free standing	10	5
MIRROR	10	9
Cooler - Ice Chest	10	2
